date_debut,date_fin,titre_court,description_rapide,categorie,pays
2010-12-07,2011-01-31,Adoption de la EU Timber Regulation,Adoption par l'UE de la réglementation visant à lutter contre l'import illégal de bois et de produits bois,Politique/Juridique/Économie/Logistique,EU27
2013-03-03,2013-04-30,Entrée en vigueur de l'EUTR,L'EUTR interdit la mise sur le marché de bois illégal et impose une diligence raisonnable pour les opérateurs et les traders dans l'UE,Juridique/Économie/Logistique,EU27
2016-11-15,2017-01-15,Début des licences FLEGT pour l'Indonésie,"L'Indonésie commence à délivrer des licences FLEGT attestant de la légalité du bois exporté vers l'UE, ouvrant la voie à une « voie verte » d'importation",Géopolitique/Économie/Logistique/Environnement,Indonésie/UE
2016-11-15,2017-01-15,Entrée en vigueur des licences FLEGT (Indonésie) – explications pour l'UE,Date clé marquant le début de la reconnaissance des licences FLEGT par l'UE,Logistique/Économie,Indonésie/UE
2023-06-29,2024-12-29,Entrée en application de la Regulation sur les produits forestiers (EUDR),L'EUDR remplace progressivement la EUTR et impose une diligence due sur les produits bois afin de prévenir la déforestation,Politique/Économie/Environnement,EU27
2024-12-06,2025-12-29,Lancement du système d'information EUDR,Lancement officiel du système d'information permettant la gestion des déclarations de diligence raisonnable avant l'application complète,Technologie/Environnement,EU27
2025-12-04,2026-12-31,Mandat de révision ciblée de l'EUDR,Les institutions européennes établissent un mandat pour une révision ciblée et le report de l'application jusqu'à fin 2026,Politique/Géopolitique/Environnement,EU27
2023-05-16,2023-07-15,Adoption de règles pour réduire la déforestation mondiale,Le Conseil adopte des règles visant à réduire la déforestation via les chaînes d'approvisionnement,Politique/Environnement,EU27
2024-12-18,2025-06-30,Postponement de l'application de l'EUDR pour les opérateurs,Décision officielle de retarder l'entrée en application de l'EUDR afin de gagner en préparation,Politique/Économie/Environnement,EU27
2022-01-01,2022-01-01,Cadres FLEGT et VPAs en cours de renforcement (contexte 2012-2025),Renforcement des VPAs et des cadres FLEGT avec plusieurs pays partenaires afin d'améliorer la traçabilité et la légalité du bois exporté vers l'UE,Géopolitique/Économie/Environnement,UE/Indonésie/Ghana/etc.
2012-12-10,2012-12-10,Nobel de la Paix attribué à l'UE,Reconnaissance du rôle de l'UE dans la paix et la réconciliation en Europe,Global/Politique,EU27
2013-07-01,2013-07-01,Croatie rejoint l'Union européenne,La Croatie devient le 28e État membre de l'UE,Politique/Geopolitique,Croatie
2015-11-13,2015-12-13,Attentats majeurs en Europe (Paris/Nice/BXL/etc.),Suite d'attaques terroristes qui ont marqué l'UE et renforcé les mesures de sécurité,Sécurité/Politique/Environnement,EU27
2016-06-23,2016-07-01,Référendum sur le Brexit,Vote en faveur de la sortie du Royaume-Uni de l'Union européenne,Politique/Geopolitique,EU27
2019-05-23,2019-07-01,Élections européennes de 2019,Élections européennes majeures marquant une poussée eurosceptique et des renouvellements parlementaires,Politique/Économie,EU27
2019-12-11,2019-12-11,Plan européen Green Deal (Annonce/ cadre stratégique),Annonce et cadre stratégique visant la neutralité climatique de l'UE,Environnement/Économie,EU27
2020-01-31,2020-01-31,Sortie du Royaume-Uni de l'UE (Brexit officiel),Conclusion du processus de retrait du Royaume-Uni,Politique/Geopolitique,Royaume-Uni
